title,url,type,date,excerpt
Announcing HackAPrompt 2.0: The World’s Largest AI Red-Teaming Hackathon,https://learnprompting.org/blog/announce-hackaprompt-2,Announcement,,"Join HackAPrompt 2.0, the largest AI red-teaming competition ever! Test vulnerabilities in AI systems across 5 tracks with $500K in prizes."
A Complete Guide to Apple Intelligence: 10 Essential Features You Need to Know,https://learnprompting.org/blog/apple-intelligence-guide,Listicle,,"How to use Apple Intelligence? Simplify tasks, summarize messages, rewrite text, and create custom emojis. Smarter, faster, and more fun on Apple devices!"
A Complete How-To Guide to Google Gemini,https://learnprompting.org/blog/guide-google-gemini,"Guide, AI Tools",,"Discover Google Gemini, an AI chatbot that uses multimodal capabilities and Google Search to simplify tasks like handling text, images, and audio."
A Complete How-To Guide to Suno: The Easiest Way to Create Personalized Music,https://learnprompting.org/blog/guide-suno,"Guide, AI Tools",,"Discover how Suno AI makes music creation simple and fun. From custom soundtracks to personalized gifts, unleash your creativity with ease."
"Inside Apple Intelligence: Key Features, Integration with ChatGPT and Privacy Concerns",https://learnprompting.org/blog/apple_intelligence,"Guide, AI Tools",,"Plus, a Brief History of AI at Apple"
LLM Parameters Explained: A Practical Guide with Examples for OpenAI API in Python,https://learnprompting.org/blog/llm-parameters,"Guide, Prompt Engineering",,"Master LLM parameters like temperature, top-p, penalties, and stop sequences to optimize text generation for creative, technical, or structured tasks."
Prompt Engineering vs. Fine-Tuning: How to Choose the Right Approach for Your Needs,https://learnprompting.org/blog/prompt-engineering-vs-fine-tuning,"Guide, Prompt Engineering",,Discover the differences between prompt engineering and fine-tuning as effective techniques for adapting large language models to specific tasks.
What is Prompt Engineering? How and Why Does It Work?,https://learnprompting.org/blog/what-is-prompt-engineering,"Guide, Prompt Engineering",,"Learn how prompt engineering works, why it matters, and how to get started. Understand the importance of phrasing your instructions, and explore techniques like few-shot prompting, chain-of-thought, and role prompting."
GPT-4o Image Generation: A Complete Guide + 12 Prompt Examples,https://learnprompting.org/blog/guide-openai-4o-image-generation,"Guide, AI Tools",,"OpenAI has released GPT-4o Image Generation, which is probably the most advanced, natively multimodal image generator to date. In this guide, we'll explore a variety of applications for GPT-4o image generation and provide detailed prompt examples to help you create the exact image you envision."
Microsoft AI Copilot Exposing Code from Private GitHub Repositories,https://learnprompting.org/blog/microsoft-ai-copilot-exposing-code-from-private-github-repositories,"Guide, AI Safety",,"Lasso Security's investigation reveals Microsoft's AI assistant can access private GitHub repositories through cached data, raising major security concerns"
New Ways to Hack AI Assistants in Blockchain: How Context Manipulation Works,https://learnprompting.org/blog/context-manipulation-attacks-in-ai-agents-blockchain,"Guide, AI Safety",,Researchers discovered new ways to trick AI assistants in blockchain systems. Learn how these attacks work and why they matter for the future of AI security.
Prompt Injection Exploits in ChatGPT Operator,https://learnprompting.org/blog/prompt-injection-exploits-in-chatgpt-operator,"Guide, AI Safety",,"A detailed analysis of how ChatGPT Operator can be exploited through prompt injection, including real-world attack scenarios and defense mechanisms."
Understanding Fun-Tuning: How Researchers Found a New Way to Hack AI Models,https://learnprompting.org/blog/fun-tuning-prompt-hacking-gemini-by-exploiting-gemini-free-api,"Guide, AI Safety",,An explanation of how researchers discovered a systematic way to make AI models ignore their safety guardrails by exploiting fine-tuning APIs
What is AI Red Teaming?,https://learnprompting.org/blog/what-is-ai-red-teaming,"Guide, AI Safety",,Explore the key differences between prompt injection and jailbreaking in AI security.
Hacking ChatGPT's Memory System using Prompt Injection,https://learnprompting.org/blog/prompt-injection-hacking-chatgpt-memories,"Guide, AI Safety",,"A technical analysis of ChatGPT's memory feature, its implementation, and potential security implications through prompt injection techniques."
How Private Is Apple Intelligence? Here’s What You Need to Know,https://learnprompting.org/blog/apple-intelligence-ai-privacy,"Guide, AI Safety",,"Explore how Apple ensures AI privacy with on-device processing and Private Cloud Compute, designed to keep your data safe."
How To Use Canvas Feature in ChatGPT?,https://learnprompting.org/blog/how-to-use-openai-canvas-chatgpt,Listicle,,"Learn how to harness ChatGPT's Canvas tool for collaborative editing, text refining, coding assistance, and streamlined project workflows."
10 Best Online Prompt Engineering Courses [Free & Paid] with Certificates,https://learnprompting.org/blog/prompt_engineering_courses,Listicle,,Make the most out of your chatbot or language model by learning prompt engineering with these online courses.
"10 Must-Know AI Insights from Dario Amodei, CEO of Anthropic",https://learnprompting.org/blog/anthropic-ceo-ai-insights,Listicle,,"Highlights from Dario Amodei's 5-hour Lex Fridman Podcast on AI's challenges, safety, and scaling."
14 Perplexity AI Use Cases: The Search Engine You Didn’t Know Could Do So Much,https://learnprompting.org/blog/perplexity_use_cases,Listicle,,The Search Engine You Didn’t Know Could Do So Much
Best Free AI Image Generators in 2025,https://learnprompting.org/blog/best-free-ai-image-generator,Listicle,,"Discover the top free AI image generators of 2025! Learn how these tools can help you create stunning visuals effortlessly, no artistic skills required."
"The Future of AI: 3 Key Takeaways from Kevin Weil, CPO at OpenAI",https://learnprompting.org/blog/ai_future_,Listicle,,"Spanning AI research, industry trends, politics, and safety."
Top 15 Online ChatGPT Courses [Free & Paid],https://learnprompting.org/blog/chatgpt-intro-courses,Listicle,,"Explore 15 courses for learning how to master ChatGPT for everyday tasks, both personal and professional."
Top 20 Generative AI Courses [Free & Paid],https://learnprompting.org/blog/generative-ai-courses,Listicle,,"Discover the 20 best online courses on generative AI, suitable for all experience levels and budgets."
Top 29 Online Courses for Mastering Large Language Models (LLMs) [Free & Paid],https://learnprompting.org/blog/large-language-models-courses,Listicle,,"Explore the top 29 online courses to master Large Language Models (LLMs), including free and paid options, covering everything from basics to advanced techniques."
How to Use ChatGPT for Resume Creation: 9 Applications with Prompt Templates: Your Ultimate Guide to AI-Powered Job Applications,https://learnprompting.org/blog/resume_prompts,Listicle,,Your Ultimate Guide to Resume Creation with AI
How To Use ChatGPT Search?,https://learnprompting.org/blog/how-to-use-openai-chatgpt-search,Listicle,,"Discover how to integrate real-time web data into ChatGPT for timely, sourced answers, streamlining research and eliminating tab hopping."
How To Use ChatGPT's Advanced Voice Mode?,https://learnprompting.org/blog/how-to-use-openai-chatgpt-advanced-voice-mode,Listicle,,"Learn to engage with ChatGPT through natural speech, share visuals, and run code interactively, enhancing conversations with richer, dynamic content."
How To Use Projects in ChatGPT?,https://learnprompting.org/blog/how-to-use-openai-chatgpt-projects,Listicle,,"Organize chats, files, and instructions into structured folders, creating tailored workspaces that streamline complex projects and ensure context."
OpenAI Open-Sources Agents SDK: Building Agentic AI Applications,https://learnprompting.org/blog/openai-agents-sdk,News,,"A comprehensive guide to OpenAI's new Agents SDK, exploring its features, benefits, and practical applications for building AI-powered applications."
"Sakana AI's AI Scientist Creates a First-Ever Fully AI-Generated, Peer-Reviewed Publication",https://learnprompting.org/blog/ai-scientist-generates-its-first-peer-reviewed-scientific-publication,News,,Sakana AI's AI Scientist-v2 recently achieved a major milestone by generating its first fully AI-created scientific paper that passed the peer-review process at an ICLR workshop.
Sesame's Conversational Speech Model Now Open-Sourced,https://learnprompting.org/blog/sesame-conversational-speech-model-open-sourced,News,,"Sesame AI has open-sourced their Conversational Speech Model (CSM), making advanced speech synthesis technology available to developers and researchers."
Sesame's Conversational Speech Model: Breakthrough in AI Speech Generation,https://learnprompting.org/blog/sesame-conversational-speech-model,News,,"Sesame's Conversational Speech Model (CSM) is a breakthrough in AI speech generation, enabling more natural and engaging conversations with AI."
Stability AI Unveils Stable Virtual Camera: Transforming 2D Images into Dynamic 3D Videos,https://learnprompting.org/blog/stability-ai-stable-virtual-camera,News,,"Stability AI releases Stable Virtual Camera, a breakthrough multi-view diffusion model that converts still images into 3D videos with sophisticated camera control capabilities."
Tavus Introduces Emotionally Intelligent Conversational Video Interface (CVI),https://learnprompting.org/blog/tavus-conversational-video-interface,News,,"Tavus introduces a new Conversational Video Interface (CVI) that enables AI agents to perceive, listen, understand, and engage in dynamic, human-like conversations."
What are Large Language Diffusion with mAsking (LLaDA)? Redefining Language Generation with Diffusion Models,https://learnprompting.org/blog/large-language-diffusion-models,News,,"Large Language Diffusion with mAsking (LLaDA) represents a transformative shift in how language generation can be approached, by leveraging diffusion techniques originally popularized in image and audio domains."
What is DeepSeek-R1? The Cutting-Edge Model Family Reshaping AI Reasoning,https://learnprompting.org/blog/what-is-deepseek,News,,"Explore DeepSeek-R1, the open-source AI model matching proprietary systems through innovative reinforcement learning and advanced reasoning capabilities."
What Is Google Agentspace And What's Inside?,https://learnprompting.org/blog/what-is-google-agentspace,News,,"Google Agentspace unites enterprise data, search, and AI agents, offering contextual insights, streamlined workflows, and potential efficiency gains."
What is Manus? The New Autonomous AI Agent,https://learnprompting.org/blog/chinas-autonomous-agent-manus,News,,"Manus is a new kind of general AI agent designed to go beyond chat-based interactions, delivering real-world results without continuous supervision."
Google Makes Historic $32 Billion Acquisition of Cloud Security Startup Wiz,https://learnprompting.org/blog/google-acquired-wiz,News,,"Google has announced its largest acquisition to date, purchasing cloud security company Wiz for $32 billion in a strategic move to strengthen its position in the cloud computing market."
10 AI Trends in 2025 You Can't Miss,https://learnprompting.org/blog/10-ai-trends-in-2025,Newsletter,,"From autonomous AI and multimodal capabilities to smaller language models, accelerated product development, and chatbots with near-infinite memory."
AI Gets Smarter by Knowing When to Shut Up,https://learnprompting.org/blog/ai-gets-smarter-by-knowing-when-to-shut-up,Newsletter,,"In this week's newsletter, we're diving into the latest updates from OpenAI, Anthropic, Google, and more. Plus, we've got a special announcement about our upcoming AI Red Teaming and AI Security Masterclass."
AI That Feels Like A Real Person,https://learnprompting.org/blog/ai-that-feels-like-a-real-person,Newsletter,,"Discover how researchers are creating simulation agents that can replicate human attitudes and behaviors with 85% accuracy, and learn about the latest developments in AI agents from Microsoft, Google, and more."
AI That Learns by Watching You?,https://learnprompting.org/blog/ai-that-learns-by-watching-you,Newsletter,,"Plus, updates from Perplexity, Replit, ElevenLabs, and Google, must-have tools for developers, and 2 papers on the real impact of prompting—is Prompting dead or thriving?"
Anthropic CEO on the New Era of AI-Powered Hacking,https://learnprompting.org/blog/anthropic-ceo-on-the-new-era-of-ai-powered-hacking,Newsletter,,"Plus, Learn Prompting x US Congress, HackAPrompt 2.0 Updates, & AI Red Teaming Course"
Claude Can Now Write and Run Code,https://learnprompting.org/blog/claude-can-now-write-and-run-code,Newsletter,,"Plus, new updates from Nvidia, Microsoft, and Adobe!"
OpenAI's New Image Generation Model: Competing with the Studios?,https://learnprompting.org/blog/openai-new-image-generation-model-competes-with-studios,Newsletter,,OpenAI's GPT-4o is turning heads with image generation capabilities that come remarkably close to professional quality. The model creates visuals comparable to professional services but does it in minutes instead of hours and at a fraction of the cost. This is both exciting and a bit concerning for the creative industry.
The Multimodal AI Boom,https://learnprompting.org/blog/multimodal-ai-boom,Newsletter,,"From Google's Veo to OpenAI's Sora, the multimodal AI space is heating up. Plus, explore the future of AI and learn GenAI with 15 hands-on courses!"
What is the Model Context Protocol (MCP)? And Why It Matters,https://learnprompting.org/blog/what-is-model-context-protocol,Newsletter,,"Compete in HackAPrompt 2.0, the world's largest AI Red-Teaming competition!"
What Is Vibe Coding?,https://learnprompting.org/blog/what-is-vibe-coding,Newsletter,,"Explore vibe coding, the emerging trend where developers 'give in to the vibes' and let AI handle most coding tasks. Learn how this approach is transforming software development and what it means for the future of programming."
When AI Took the Wheel: The New Engine of Everyday Life,https://learnprompting.org/blog/ai-integration-into-everyday-life,Newsletter,,"In this week's newsletter, we're diving into the latest updates from OpenAI, Anthropic, Google, and more. Plus, we've got a special announcement about our upcoming AI Red Teaming and AI Security Masterclass."
How Are People Using AI Tools for Writing Every Day?,https://learnprompting.org/blog/how-people-use-ai-tools-for-writing-every-day,Newsletter,,"A comprehensive study by researchers at Stanford, the University of Washington, Emory University, and others reveals how AI tools are transforming consumer complaints, corporate communications, job postings, and even United Nations press releases."
How People Use AI at Work,https://learnprompting.org/blog/how-people-use-ai-at-work,Newsletter,,"Plus, the latest updates on generative AI tools from xAI, Perplexity, Adobe, OpenAI, and more."
10 Tips to Write Effective AI Prompts,https://learnprompting.org/blog/tips-effective-prompts,"Guide, Prompt Engineering",,Learn how to write effective prompts to get precise and useful responses from AI models with these 10 expert tips.
Apple's Ethical AI: A Deep Dive into Responsible AI Powering Apple Intelligence,https://learnprompting.org/blog/apple-intelligence-responsible-ai,"Guide, AI Safety",,"Discover how Apple integrates Responsible AI principles into the development of Apple Foundation Models (AFM), the driving force behind Apple Intelligence."